__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295653.124437,0.000452820,-0.000000984,-11.054946866,0.000000000,0.000000000,0.004691646,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000982640,0.000001974,0.000000010,0.000000001
1731295653.135859,0.000421560,-0.000001001,-11.054946862,0.000000000,0.000000000,0.012569669,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001423533,0.000002183,0.000000010,0.000000000
1731295653.146554,0.000403180,-0.000000944,-11.054946854,0.000000000,0.000000000,0.017504975,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001546523,0.000002249,0.000000009,0.000000000
1731295653.157246,0.000359545,-0.000000996,-11.054946847,0.000000000,0.000000000,0.020938446,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001526616,0.000002569,0.000000009,0.000000000
1731295653.167539,0.000340529,-0.000000963,-11.054946833,0.000000000,0.000000000,0.021570465,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001287436,0.000002620,0.000000008,0.000000000
1731295653.177729,0.000267248,-0.000001112,-11.054946807,0.000000000,0.000000000,0.020251439,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000938275,0.000003223,0.000000009,-0.000000000
1731295653.188361,0.000189934,-0.000001282,-11.054946801,0.000000000,0.000000000,0.013849419,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000250626,0.000003833,0.000000010,-0.000000000
1731295653.198543,0.000185771,-0.000001267,-11.054946802,0.000000000,0.000000000,0.004950847,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000505392,0.000003661,0.000000009,-0.000000000
1731295653.209402,0.000156997,-0.000001337,-11.054946805,0.000000000,0.000000000,-0.003702929,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001098552,0.000003751,0.000000010,-0.000000000
1731295653.218929,0.000142944,-0.000001381,-11.054946811,0.000000000,0.000000000,-0.010526938,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001433545,0.000003685,0.000000010,-0.000000000
