__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731296051.767779,-0.151519443,-0.061884920,-11.043081710,0.000000000,0.000000000,20.550822757,0.070000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-5.272682803,-0.001035595,0.003417170,0.000094391
1731296051.777811,-0.124749846,-0.069312408,-11.044039070,0.000000000,0.000000000,18.731251186,0.040000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-4.127926612,-0.001251280,0.003316162,0.000100851
1731296051.789352,-0.083556269,-0.064093074,-11.044780280,0.000000000,0.000000000,35.354938407,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-4.668679601,-0.001602290,0.003097890,0.000104375
1731296051.799391,-0.029913581,-0.052594995,-11.045641929,0.000000000,0.000000000,70.610470282,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-6.590325292,-0.002060893,0.002829906,0.000109157
1731296051.809454,0.020440802,-0.039612754,-11.046593651,0.000000000,0.000000000,86.920527163,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-6.639150763,-0.002460300,0.002561119,0.000114764
1731296051.819642,0.066415591,-0.022339377,-11.047351972,0.000000000,0.000000000,91.001872598,0.070000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-5.705086328,-0.002792668,0.002264407,0.000117753
1731296051.829948,0.110669655,-0.004664085,-11.048106012,0.000000000,0.000000000,96.908850724,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-5.093507143,-0.003088903,0.001978817,0.000120531
1731296051.840058,0.155305150,0.013684258,-11.048905740,0.000000000,0.000000000,106.531866544,0.050000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-4.893769836,-0.003372498,0.001701163,0.000123710
1731296051.850619,0.186321343,0.029306473,-11.049470287,0.000000000,0.000000000,100.571570354,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-3.491190751,-0.003501120,0.001463935,0.000123898
1731296051.862435,0.232320325,0.046507114,-11.050364320,0.000000000,0.000000000,125.477580998,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-4.812116735,-0.003775635,0.001223435,0.000128029
